id,name,country,time_zone,lat,lng
131,Croix-l’Allumette,FR,Europe/Paris,50.6872009,3.1516591
132,Roubaix,FR,Europe/Paris,50.69561,3.16348
136,Jeumont,FR,Europe/Paris,50.3,4.1
137,Jeumont,FR,Europe/Paris,50.29606,4.08645
139,Bellegarde-sur-Valserine,FR,Europe/Paris,46.107874,5.824213
140,Bellegarde-sur-Valserine,FR,Europe/Paris,46.109425,5.823483
141,Bellegarde-sur-Valserine Lycée Musinens,FR,Europe/Paris,46.115336,5.794132
143,Briouze,FR,Europe/Paris,48.7018622,-0.3682036
148,Calais Ville,FR,Europe/Paris,50.952613,1.848185
149,Boulogne-sur-Mer Ville,FR,Europe/Paris,50.7157,1.60964
150,Allenc,FR,Europe/Paris,44.541296,3.6638926
151,Pau,FR,Europe/Paris,43.291762,-0.369626
152,Hendaye,FR,Europe/Paris,43.353132,-1.781724
153,Strasbourg,FR,Europe/Paris,48.584967,7.734584
154,Mertzwiller,FR,Europe/Paris,48.866667,7.683333
155,Mertzwiller,FR,Europe/Paris,48.872013,7.6781895
157,Colmar,FR,Europe/Paris,48.073201,7.346967
158,Mulhouse,FR,Europe/Paris,47.742224,7.342396
159,St-Louis (Haut Rhin),FR,Europe/Paris,47.583333,7.566667
160,St-Louis La-Chaussée,FR,Europe/Paris,47.6094781,7.5312095
161,St-Louis,FR,Europe/Paris,47.5906094,7.5559882
163,Thann,FR,Europe/Paris,47.8088208,7.1069795
164,Thann—St-Jacques,FR,Europe/Paris,47.8133155,7.0938473
165,Givors Canal,FR,Europe/Paris,45.5957662,4.7725754
166,Aspach-le-Haut,FR,Europe/Paris,47.65,7.233333
167,Aspach-le-Haut,FR,Europe/Paris,47.769396,7.142379
168,Aspach-le-Bas,FR,Europe/Paris,47.759832,7.152375
171,Avignon Centre,FR,Europe/Paris,43.9419,4.805281
172,Le Mans,FR,Europe/Paris,47.995034,0.19014
173,Joué-lès-Tours Berthelot,FR,Europe/Paris,47.35,0.666667
174,Eu,FR,Europe/Paris,50.05,1.416667
175,Eu-la-Mouillette,FR,Europe/Paris,50.04890671,1.425368786
176,Eu,FR,Europe/Paris,50.0541988,1.416837
177,Alleyras,FR,Europe/Paris,44.919217,3.673517
178,Le Havre,FR,Europe/Paris,49.492996,0.125677
179,Harfleur,FR,Europe/Paris,49.506596,0.198269
180,Harfleur-Halte,FR,Europe/Paris,49.5059181,0.192085
181,Harfleur,FR,Europe/Paris,49.5136336,0.1989828
182,Montivilliers,FR,Europe/Paris,49.55,0.2
184,Montivilliers,FR,Europe/Paris,49.5429758,0.189426
186,Dieppe,FR,Europe/Paris,49.921788,1.081133
187,Fontainebleau—Avon,FR,Europe/Paris,48.416371,2.72634
188,Péronne,FR,Europe/Paris,50,2.65
189,Péronne Centre,FR,Europe/Paris,49.934997,2.938987
190,Péronne la Chapelette,FR,Europe/Paris,49.924488,2.933359
191,Albi Ville,FR,Europe/Paris,43.92238,2.137958
192,Orléans Centre,FR,Europe/Paris,47.90796,1.904666
194,Vendôme,FR,Europe/Paris,47.8021498,1.0678728
195,Fréjus,FR,Europe/Paris,43.432032,6.732941
196,Fontenay-le-Comte,FR,Europe/Paris,46.46785958,-0.809592605
197,Acheux-Franleu,FR,Europe/Paris,50.0826021,1.6574207
199,St-Hilaire-de-Riez,FR,Europe/Paris,46.7166736,-1.9496838
200,St-Hilaire-de-Riez Centre,FR,Europe/Paris,46.718728,-1.944618
201,La Clayette—Baudemont,FR,Europe/Paris,46.2881469,4.2984195
203,Tours,FR,Europe/Paris,47.389781,0.693703
204,Cambrai,FR,Europe/Paris,50.17662,3.24118
205,Aiguebelle,FR,Europe/Paris,45.5437225,6.3067175
207,Agen,FR,Europe/Paris,44.208311,0.620932
208,Ervy-le-Châtel Halles,FR,Europe/Paris,48.033333,3.916667
209,Fays-la-Chapelle,FR,Europe/Paris,48.133333,4.016667
210,Agonac,FR,Europe/Paris,45.2865966,0.7486706
211,Limoges Bénédictins,FR,Europe/Paris,45.836089,1.267356
212,Modane,FR,Europe/Paris,45.193365,6.658161
213,Agos,FR,Europe/Paris,43.033333,-0.066667
214,Argenton-sur-Creuse,FR,Europe/Paris,46.583333,1.516667
215,Argenton-sur-Creuse,FR,Europe/Paris,46.592248,1.518305
216,Argenton-sur-Creuse Gare Routière,FR,Europe/Paris,46.587009,1.503158
217,Roye,FR,Europe/Paris,49.69805005,2.789722681
218,Agay,FR,Europe/Paris,43.4313701,6.8564997
223,Versailles-Chantiers,FR,Europe/Paris,48.7958264,2.1358827
224,Villeneuve-au-Chemin,FR,Europe/Paris,48.082895,3.844281
230,Salvagnac,FR,Europe/Paris,43.916667,1.7
232,Maussac,FR,Europe/Paris,45.483333,2.15
233,Aix-en-Provence TGV,FR,Europe/Paris,43.455237,5.317534
234,Moustéru,FR,Europe/Paris,48.5074512,-3.2435052
239,Aillevillers,FR,Europe/Paris,47.9138876,6.3372988
241,Ailly-sur-Noye,FR,Europe/Paris,49.75448,2.36419
246,Ailly-sur-Somme,FR,Europe/Paris,49.92838,2.20059
249,Aigues-Vives (Gard),FR,Europe/Paris,43.733333,4.166667
252,Aiserey,FR,Europe/Paris,47.170501,5.1582447
264,Vicq-sur-Breuilh,FR,Europe/Paris,45.645578,1.384455
265,St-Hilaire-Bonneval,FR,Europe/Paris,45.716667,1.366667
266,Boisseuil,FR,Europe/Paris,45.766667,1.316667
267,Azay-sur-Indre,FR,Europe/Paris,47.2,0.95
286,Mouroux,FR,Europe/Paris,48.8139949,3.0423421
292,Alet-les-Bains,FR,Europe/Paris,42.9974445,2.2518325
293,Allassac,FR,Europe/Paris,45.2589385,1.4731471
295,Albens,FR,Europe/Paris,45.785946,5.9483418
302,Pierre-Buffière Ville,FR,Europe/Paris,45.7,1.35
303,Aix la Marsalouse,FR,Europe/Paris,45.61420627,2.398447394
304,La Ferté-sous-Jouarre,FR,Europe/Paris,48.950741,3.125577
311,Merten,FR,Europe/Paris,49.25,6.666667
313,La Ferté-Milon,FR,Europe/Paris,49.1797269,3.1207223
314,Neuilly-St-Front,FR,Europe/Paris,49.1871466,3.2710249
315,Oulchy-Breny,FR,Europe/Paris,49.1876743,3.3524421
316,Albi Madeleine,FR,Europe/Paris,43.938011,2.1409629
317,Ambérieu,FR,Europe/Paris,45.954008,5.342388
322,Auxon Église,FR,Europe/Paris,48.092235,3.923863
323,Rehainviller,FR,Europe/Paris,48.566667,6.466667
324,St-Pierremont,FR,Europe/Paris,48.433333,6.583333
325,Leintrey,FR,Europe/Paris,48.616667,6.733333
326,Amenoncourt,FR,Europe/Paris,48.626383,6.78441
327,Magnac Bourg,FR,Europe/Paris,45.61815,1.43097
328,Aigues-Mortes,FR,Europe/Paris,43.5709008,4.1912102
329,Meuzac,FR,Europe/Paris,45.55,1.433333
335,Orville,FR,Europe/Paris,47.55,5.2
336,Torcenay,FR,Europe/Paris,47.813425,5.470142
337,Rosoy-sur-Amance,FR,Europe/Paris,47.833333,5.533333
338,Bize,FR,Europe/Paris,47.833333,5.633333
339,Anrosey,FR,Europe/Paris,47.833333,5.666667
340,Pisseloup,FR,Europe/Paris,47.833333,5.733333
341,Bétoncourt-sur-Mance,FR,Europe/Paris,47.830622,5.759083
342,Vernois-sur-Mance,FR,Europe/Paris,47.851944,5.794042
343,Andelot,FR,Europe/Paris,46.8594671,5.923584
344,Angers,FR,Europe/Paris,47.466667,-0.55
345,Angers Maître École,FR,Europe/Paris,47.4670899,-0.531894
346,Blondefontaine,FR,Europe/Paris,47.883333,5.866667
347,Angoulême,FR,Europe/Paris,45.653572,0.164608
348,Raincourt,FR,Europe/Paris,47.85987923,5.885946751
349,Gévigney,FR,Europe/Paris,47.8,5.933333
350,Baulay,FR,Europe/Paris,47.783333,6.016667
351,Amoncourt,FR,Europe/Paris,47.733333,6.066667
352,Chaux-les-Port,FR,Europe/Paris,47.713834,6.03311
353,Charmoille,FR,Europe/Paris,47.666667,6.1
354,Pusey,FR,Europe/Paris,47.65,6.133333
355,Martigny-les-Gerbonvaux,FR,Europe/Paris,48.45,5.8
356,Autreville,FR,Europe/Paris,48.483333,5.85
358,Mont-le-Vignoble,FR,Europe/Paris,48.616667,5.85
359,Hestroff,FR,Europe/Paris,49.266667,6.433333
360,Vaudreching,FR,Europe/Paris,49.284483,6.523714
361,Alzing,FR,Europe/Paris,49.283333,6.55
363,Villette,FR,Europe/Paris,49.474443,5.541571
364,Colmey—Flabeuville,FR,Europe/Paris,49.457202,5.555477
365,Montigny-sur-Chiers,FR,Europe/Paris,49.483333,5.666667
366,Lexy,FR,Europe/Paris,49.5,5.733333
367,Ingolsheim,FR,Europe/Paris,48.97402,7.935905
372,Hertzing,FR,Europe/Paris,48.683333,6.95
373,Bébing,FR,Europe/Paris,48.7,7
376,Drouilly,FR,Europe/Paris,48.766667,4.516667
377,Aiguillon,FR,Europe/Paris,44.2987224,0.3352388
378,St-Martin-aux-Champs,FR,Europe/Paris,48.816667,4.483333
379,Bouilly,FR,Europe/Paris,48.2,4
380,Chamoy,FR,Europe/Paris,48.116667,3.966667
381,Jeugny,FR,Europe/Paris,48.128443,4.039581
382,Montigny-les-Monts,FR,Europe/Paris,48.1,3.95
383,St-Germain Mairie,FR,Europe/Paris,48.259911,4.007804
384,St-Jean-de-Bonneval,FR,Europe/Paris,48.166667,4.05
385,St-Phal Monument aux morts,FR,Europe/Paris,48.116667,4
386,Villery,FR,Europe/Paris,48.165524,4.023086
387,Neuvy-Sautour RN,FR,Europe/Paris,48.033333,3.8
388,Brienon Mairie,FR,Europe/Paris,48,3.616667
389,St-Lyé,FR,Europe/Paris,48.366667,4
390,Payns,FR,Europe/Paris,48.383333,3.966667
391,Savières,FR,Europe/Paris,48.416667,3.95
392,St-Mesmin,FR,Europe/Paris,48.45,3.933333
393,Vallant-St-Georges,FR,Europe/Paris,48.466168,3.899331
394,Châtres,FR,Europe/Paris,48.5,3.85
395,Maizières-La Grande-Paroisse,FR,Europe/Paris,48.516667,3.783333
396,Romilly-sur-Seine,FR,Europe/Paris,48.514433,3.728887
399,Marnay-sur-Seine,FR,Europe/Paris,48.516667,3.55
400,Nogent-sur-Seine,FR,Europe/Paris,48.49783878,3.49372888
401,Aigueperse,FR,Europe/Paris,46.0147884,3.1982621
402,Vendeuvre,FR,Europe/Paris,48.2400686,4.4672135
403,Bar-sur-Aube,FR,Europe/Paris,48.2385399,4.7066708
404,St-Florentin Hôtel de Ville,FR,Europe/Paris,48,3.733333
406,Foug,FR,Europe/Paris,48.6792561,5.7912761
407,Fontenoy-sur-Moselle,FR,Europe/Paris,48.711721,5.9803654
408,Liverdun,FR,Europe/Paris,48.7493158,6.0617374
409,Champigneulles,FR,Europe/Paris,48.73499,6.16913
410,Laneuveville-devant-Nancy,FR,Europe/Paris,48.65564,6.22792
411,Argèles-Gazost,FR,Europe/Paris,43.1,-0.05
412,Arches,FR,Europe/Paris,48.1198133,6.5283085
413,Varangéville—St-Nicolas,FR,Europe/Paris,48.63533929,6.31286037
414,Dombasle-sur-Meurthe,FR,Europe/Paris,48.623275,6.343478
415,Rosières-aux-Salines,FR,Europe/Paris,48.60563,6.350457
416,Argelès-sur-Mer,FR,Europe/Paris,42.54397,3.022349
417,Marainviller,FR,Europe/Paris,48.583333,6.6
419,Embermenil,FR,Europe/Paris,48.633333,6.7
421,Einvaux,FR,Europe/Paris,48.5034859,6.3932959
422,Bayon,FR,Europe/Paris,48.468046,6.322569
423,Argentan,FR,Europe/Paris,48.738545,-0.025291
424,Xermamenil—Lamath,FR,Europe/Paris,48.534981,6.457553
425,Arvant,FR,Europe/Paris,45.3653797,3.3106747
426,Gerbeviller,FR,Europe/Paris,48.5,6.516667
427,Moyen,FR,Europe/Paris,48.483333,6.566667
428,Soulosse,FR,Europe/Paris,48.40923,5.739127
429,Magnières,FR,Europe/Paris,48.45,6.566667
430,Ascq,FR,Europe/Paris,50.6218591,3.1598992
432,Coussey,FR,Europe/Paris,48.416667,5.683333
433,Domremy-la-Pucelle,FR,Europe/Paris,48.45,5.683333
434,Auxerre-St-Gervais,FR,Europe/Paris,47.797645,3.58514
435,Aspres-sur-Buëch,FR,Europe/Paris,44.519428,5.7545655
436,St-Clément-Laronxe,FR,Europe/Paris,48.5312283,6.6081108
437,Chenevières,FR,Europe/Paris,48.5195062,6.6325613
438,Ménil-Flin,FR,Europe/Paris,48.5050204,6.6592265
439,Azerailles,FR,Europe/Paris,48.4913355,6.695778
440,Baccarat,FR,Europe/Paris,48.452405,6.74383
441,Bertrichamps,FR,Europe/Paris,48.4283359,6.7912343
442,Thiaville,FR,Europe/Paris,48.4139874,6.8102635
443,Houdemont,FR,Europe/Paris,48.645478,6.1797255
444,Ludres,FR,Europe/Paris,48.6219545,6.1709118
445,Messein,FR,Europe/Paris,48.6128788,6.1378364
446,Neuves-Maisons,FR,Europe/Paris,48.6147666,6.1078904
447,Pont-St-Vincent,FR,Europe/Paris,48.6023732,6.1031502
448,Aixe-sur-Vienne,FR,Europe/Paris,45.7965002,1.1456892
449,Adamswiller,FR,Europe/Paris,48.90375766,7.201194763
450,Bainville,FR,Europe/Paris,48.5863794,6.099327
452,Xeuilley,FR,Europe/Paris,48.5697134,6.1022334
453,Pierreville,FR,Europe/Paris,48.5488838,6.1241409
454,Pulligny—Autrey,FR,Europe/Paris,48.5360716,6.1374765
455,Ceintrey,FR,Europe/Paris,48.523865,6.1572868
456,Tantonville,FR,Europe/Paris,48.4838433,6.129105
457,Vézelise,FR,Europe/Paris,48.4805518,6.1006508
458,Praye-sous-Vaudémont,FR,Europe/Paris,48.4327891,6.1006981
459,Diarville,FR,Europe/Paris,48.3975653,6.1264922
460,Domgermain,FR,Europe/Paris,48.65,5.816667
461,Charmes-la-Côte,FR,Europe/Paris,48.633333,5.833333
462,Blenod-les-Toul,FR,Europe/Paris,48.6,5.833333
463,Bulligny—Crézilles,FR,Europe/Paris,48.576646,5.848966
464,Barisey-la-Côte,FR,Europe/Paris,48.55,5.85
465,Pompey,FR,Europe/Paris,48.77304,6.13061
466,Marbache,FR,Europe/Paris,48.8010405,6.1091755
467,Belleville,FR,Europe/Paris,48.8195721,6.1018641
468,Dieulouard,FR,Europe/Paris,48.843367,6.071489
469,Pont-à-Mousson,FR,Europe/Paris,48.90058,6.050842
470,Luzy-sur-Marne,FR,Europe/Paris,48.05,5.183333
471,Chaudenay,FR,Europe/Paris,47.833333,5.5
472,Hortes,FR,Europe/Paris,47.838739,5.553454
473,Charmoy—Fayl-Billot,FR,Europe/Paris,47.809308,5.604145
474,Auch,FR,Europe/Paris,43.647488,0.596661
475,Laferté-sur-Amance,FR,Europe/Paris,47.833333,5.7
476,Vitrey—Vernois,FR,Europe/Paris,47.830406,5.779407
477,Barges,FR,Europe/Paris,47.866667,5.85
479,Bologne,FR,Europe/Paris,48.1986877,5.1342228
480,Vignory,FR,Europe/Paris,48.2701366,5.1241594
481,Aurillac,FR,Europe/Paris,44.921092,2.435655
482,Froncles,FR,Europe/Paris,48.2964154,5.1419387
483,Gudmont,FR,Europe/Paris,48.3382279,5.1408271
484,Donjeux,FR,Europe/Paris,48.3658544,5.1482245
485,Avignon TGV,FR,Europe/Paris,43.921586,4.786079
486,Avail,FR,Europe/Paris,46.960187,2.05319
487,Damblain,FR,Europe/Paris,48.0937645,5.6563504
488,Châtillon-sur-Seine,FR,Europe/Paris,47.86126132,4.57482934
489,Avignon,FR,Europe/Paris,43.95,4.816667
493,Aguilcourt—Variscourt,FR,Europe/Paris,49.408017,3.973137
494,Prauthoy,FR,Europe/Paris,47.666667,5.283333
495,Vaux-sous-Aubigny,FR,Europe/Paris,47.657894,5.291365
497,Selongey,FR,Europe/Paris,47.58704,5.18604
499,Maatz,FR,Europe/Paris,47.7,5.45
500,Champlitte,FR,Europe/Paris,47.616667,5.516667
501,Neuvelle-lès-Champlitte,FR,Europe/Paris,47.583333,5.55
502,Oyrières,FR,Europe/Paris,47.533333,5.566667
503,Chargey-les-Gray,FR,Europe/Paris,47.483333,5.583333
504,Til-Châtel,FR,Europe/Paris,47.514121,5.169067
505,Velles,FR,Europe/Paris,47.833292,5.723971
506,Vraincourt-Viéville,FR,Europe/Paris,48.2366981,5.1239383
507,Le Pailly,FR,Europe/Paris,47.8,5.416667
508,Rivières-le-Bois,FR,Europe/Paris,47.733333,5.433333
509,Grandchamp,FR,Europe/Paris,47.716667,5.45
510,Leffond,FR,Europe/Paris,47.666667,5.466667
512,Le Martoulet,FR,Europe/Paris,45.577772,1.471192
513,Coublanc,FR,Europe/Paris,47.7,5.466667
514,Écuelle,FR,Europe/Paris,47.55,5.55
515,Corgirnon,FR,Europe/Paris,47.8,5.5
516,Rougeux,FR,Europe/Paris,47.816667,5.583333
519,Beausoleil,FR,Europe/Paris,43.75,7.433333
520,Roville-aux-Chênes,FR,Europe/Paris,48.383333,6.6
521,Docelles—Cheniménil,FR,Europe/Paris,48.1436134,6.6104793
522,Lépanges,FR,Europe/Paris,48.1727165,6.6722884
523,Charmes,FR,Europe/Paris,48.378483,6.301537
524,Vincey,FR,Europe/Paris,48.3436471,6.3355129
525,Châtel—Nomexy,FR,Europe/Paris,48.307156,6.387807
526,Igney,FR,Europe/Paris,48.2709639,6.3995463
527,Thaon,FR,Europe/Paris,48.24465,6.416384
528,Raves—Ban-de-Laveline,FR,Europe/Paris,48.265723,7.0378799
529,Xertigny,FR,Europe/Paris,48.0530255,6.3767687
530,Bains-les-Bains,FR,Europe/Paris,47.9811282,6.2952683
531,Laveline-devant-Bruyères,FR,Europe/Paris,48.185596,6.7512466
532,Biffontaine,FR,Europe/Paris,48.2059398,6.8071811
533,Corcieux—Vanémont,FR,Europe/Paris,48.1982842,6.8772915
535,Mirecourt,FR,Europe/Paris,48.299243,6.129651
536,Contrexéville,FR,Europe/Paris,48.1796129,5.890633
537,Martigny-les-Bains,FR,Europe/Paris,48.1086889,5.8255764
538,Lamarche,FR,Europe/Paris,48.0901299,5.7604385
539,Rozières-sur-Mouzon,FR,Europe/Paris,48.1208921,5.7054886
540,Provenchères-sur-Fave,FR,Europe/Paris,48.3046291,7.0854904
541,Colroy—Lubine,FR,Europe/Paris,48.3145855,7.1317294
542,Pouxeux,FR,Europe/Paris,48.1039421,6.5810266
543,Éloyes,FR,Europe/Paris,48.087067,6.6001593
544,Vecoux,FR,Europe/Paris,47.980175,6.636951
545,St-Léonard,FR,Europe/Paris,48.2170818,6.9415509
546,Rupt-sur-Moselle,FR,Europe/Paris,47.933333,6.666667
547,Ferdrupt,FR,Europe/Paris,47.9,6.716667
548,Ramonchamp,FR,Europe/Paris,47.9,6.75
549,Le Thillot,FR,Europe/Paris,47.883333,6.766667
550,Fresse,FR,Europe/Paris,47.866667,6.783333
551,St-Maurice-sur-Moselle,FR,Europe/Paris,47.866667,6.833333
552,Bussang,FR,Europe/Paris,47.883333,6.85
553,Raon-l’Étape,FR,Europe/Paris,48.404002,6.837302
554,Vagney,FR,Europe/Paris,48.005974,6.710573
555,Étival-Clairefontaine,FR,Europe/Paris,48.3671987,6.8769607
556,Zainvillers,FR,Europe/Paris,47.996347,6.713764
557,Thiéfosse,FR,Europe/Paris,47.969892,6.73061
558,Saulxures-sur-Moselotte,FR,Europe/Paris,47.95,6.766667
559,St-Michel-sur-Meurthe,FR,Europe/Paris,48.3269843,6.8882777
560,Cornimont,FR,Europe/Paris,47.966667,6.833333
561,Deinvillers,FR,Europe/Paris,48.416667,6.55
563,Rambervillers,FR,Europe/Paris,48.35,6.633333
564,Jeanmenil,FR,Europe/Paris,48.333333,6.683333
566,Autrey,FR,Europe/Paris,48.3,6.683333
567,Dompaire,FR,Europe/Paris,48.216667,6.216667
568,Brouvelieures,FR,Europe/Paris,48.233333,6.733333
572,Bocquegney,FR,Europe/Paris,48.216667,6.3
574,Racecourt,FR,Europe/Paris,48.25,6.183333
575,Vélotte-et-Tatignecourt,FR,Europe/Paris,48.261475,6.164487
579,Bagnoles-de-l’Orne Office de Tourisme,FR,Europe/Paris,48.55437,-0.410609
580,St-Nabord,FR,Europe/Paris,48.0461722,6.5818945
581,Hielle—Rupt,FR,Europe/Paris,47.968714,6.635522
582,Maxonchamp,FR,Europe/Paris,47.945783,6.63269
583,Dommartin,FR,Europe/Paris,48,6.65
584,Ste-Marguerite—Remomeix,FR,Europe/Paris,48.260342,6.980995
585,Blanchifontaine,FR,Europe/Paris,48.339142,6.656682
586,Frémifontaine,FR,Europe/Paris,48.266667,6.683333
587,La Bresse,FR,Europe/Paris,48,6.883333
588,Laneuveville-aux-Bois,FR,Europe/Paris,48.616667,6.65
589,Vallois,FR,Europe/Paris,48.468442,6.564112
591,Greux,FR,Europe/Paris,48.45,5.683333
592,Goussaincourt,FR,Europe/Paris,48.48384913,5.693310499
593,Burey-la-Côte,FR,Europe/Paris,48.5,5.7
598,Montbré,FR,Europe/Paris,49.1942075,4.0388482
599,Trois-Puits,FR,Europe/Paris,49.2067481,4.0384678
600,Muizon,FR,Europe/Paris,49.2781012,3.8915287
601,Jonchery-sur-Vesle,FR,Europe/Paris,49.290057,3.819422
602,Breuil-Romain,FR,Europe/Paris,49.3084141,3.7665322
603,Fismes,FR,Europe/Paris,49.310665,3.68213
604,Bazoches,FR,Europe/Paris,49.30518,3.6163588
605,Mont-Notre-Dame,FR,Europe/Paris,49.2967797,3.5764545
606,Fère-en-Tardenois,FR,Europe/Paris,49.2085631,3.5042685
607,Dormans,FR,Europe/Paris,49.0791611,3.641709
